OVITRAP,GPS,LAT,LONG,AREA (3 areas for main text),AREA (4 areas for SI),INSIDE_OUTSIDE,DATE_SET_UP,DATE_COLLECTED,NUM_EGGS/TRAP,NUM_LARVAE,NUM_OX513A LARVAE,RECOVERED,EGG_POSITIVE,LARVAE_POSITIVE,OX513A_POSITIVE,ADULT_FEMALE_AEGYPTI,ADULT_MALE_AEGYPTI,ADULT_A_ALBOPICTUS
17,17,-9.44824,-40.48074,U,D,,7/26/10,8/2/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,7/26/10,8/2/10,0,0,,1,0,0,0,0,0,0
19,19,-9.446134,-40.483012,U,D,,7/26/10,8/2/10,23,17,,1,1,1,0,5,12,0
20,20,-9.446507,-40.483302,U,D,,7/26/10,8/2/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,7/26/10,8/2/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,8/2/10,8/9/10,7,7,,1,1,1,0,3,2,0
3,3,-9.452153,-40.480554,B,B,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
4,4,-9.452082,-40.481252,B,B,,8/2/10,8/9/10,48,48,,1,1,1,0,23,25,0
5,5,-9.452949,-40.481102,B,B,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
6,6,-9.452154,-40.480424,B,B,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
7,7,-9.452393,-40.480006,A,A,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,8/2/10,8/9/10,,,,0,0,0,0,,,
9,9,-9.4536,-40.478975,A,A,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,8/2/10,8/9/10,40,26,,1,1,1,0,10,13,0
11,11,-9.454263,-40.477542,A,A,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
12,12,-9.453011,-40.478862,A,A,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
13,13,-9.452627,-40.479453,A,A,,8/2/10,8/9/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,8/2/10,8/9/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,8/2/10,8/9/10,,,,0,0,0,0,,,
16,16,-9.450012,-40.479963,U,C,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
17,17,-9.44824,-40.48074,U,D,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,8/2/10,8/9/10,39,26,,1,1,1,0,12,11,0
19,19,-9.446134,-40.483012,U,D,,8/2/10,8/9/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,8/2/10,8/9/10,1,1,,1,1,1,0,0,1,0
21,21,-9.445648,-40.483841,U,D,,8/2/10,8/9/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,8/9/10,8/16/10,154,160,,1,1,1,0,73,84,0
3,3,-9.452153,-40.480554,B,B,,8/9/10,8/16/10,15,10,,1,1,1,0,7,3,0
4,4,-9.452082,-40.481252,B,B,,8/9/10,8/16/10,75,127,,1,1,1,0,63,64,0
5,5,-9.452949,-40.481102,B,B,,8/9/10,8/16/10,,,,0,0,0,0,,,
6,6,-9.452154,-40.480424,B,B,,8/9/10,8/16/10,1,1,,1,1,1,0,1,0,0
7,7,-9.452393,-40.480006,A,A,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,8/9/10,8/16/10,158,119,,1,1,1,0,22,97,0
9,9,-9.4536,-40.478975,A,A,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,8/9/10,8/16/10,54,49,,1,1,1,0,27,22,0
12,12,-9.453011,-40.478862,A,A,,8/9/10,8/16/10,,,,0,0,0,0,,,
13,13,-9.452627,-40.479453,A,A,,8/9/10,8/16/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,8/9/10,8/16/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,8/9/10,8/16/10,,,,0,0,0,0,,,
16,16,-9.450012,-40.479963,U,C,,8/9/10,8/16/10,13,52,,1,1,1,0,23,25,0
17,17,-9.44824,-40.48074,U,D,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,8/9/10,8/16/10,13,13,,1,1,1,0,7,8,0
19,19,-9.446134,-40.483012,U,D,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,8/9/10,8/16/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,8/9/10,8/16/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,8/16/10,8/23/10,13,6,,1,1,1,0,3,3,0
3,3,-9.452153,-40.480554,B,B,,8/16/10,8/23/10,25,24,,1,1,1,0,12,12,0
4,4,-9.452082,-40.481252,B,B,,8/16/10,8/23/10,40,32,,1,1,1,0,8,24,0
5,5,-9.452949,-40.481102,B,B,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
6,6,-9.452154,-40.480424,B,B,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
7,7,-9.452393,-40.480006,A,A,,8/16/10,8/23/10,1,0,,1,1,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,8/16/10,8/23/10,10,8,,1,1,1,0,2,6,0
9,9,-9.4536,-40.478975,A,A,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
12,12,-9.453011,-40.478862,A,A,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
13,13,-9.452627,-40.479453,A,A,,8/16/10,8/23/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,8/16/10,8/23/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,8/16/10,8/23/10,,,,0,0,0,0,,,
16,16,-9.450012,-40.479963,U,C,,8/16/10,8/23/10,15,13,,1,1,1,0,4,9,0
17,17,-9.44824,-40.48074,U,D,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,8/16/10,8/23/10,81,66,,1,1,1,0,20,44,0
19,19,-9.446134,-40.483012,U,D,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,8/16/10,8/23/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,8/16/10,8/23/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,8/23/10,8/30/10,21,21,,1,1,1,0,19,2,0
3,3,-9.452153,-40.480554,B,B,,8/23/10,8/30/10,2,0,,1,1,0,0,0,0,0
4,4,-9.452082,-40.481252,B,B,,8/23/10,8/30/10,105,61,,1,1,1,0,27,32,0
5,5,-9.452949,-40.481102,B,B,,8/23/10,8/30/10,,,,0,0,0,0,,,
6,6,-9.452154,-40.480424,B,B,,8/23/10,8/30/10,,,,0,0,0,0,,,
7,7,-9.452393,-40.480006,A,A,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
9,9,-9.4536,-40.478975,A,A,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,8/23/10,8/30/10,2,2,,1,1,1,0,1,1,0
12,12,-9.453011,-40.478862,A,A,,8/23/10,8/30/10,10,7,,1,1,1,0,5,2,0
13,13,-9.452627,-40.479453,A,A,,8/23/10,8/30/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,8/23/10,8/30/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,8/23/10,8/30/10,,,,0,0,0,0,,,
16,16,-9.450012,-40.479963,U,C,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
17,17,-9.44824,-40.48074,U,D,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
19,19,-9.446134,-40.483012,U,D,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,8/23/10,8/30/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,8/23/10,8/30/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,8/30/10,9/6/10,11,11,,1,1,1,0,4,7,0
3,3,-9.452153,-40.480554,B,B,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
4,4,-9.452082,-40.481252,B,B,,8/30/10,9/6/10,47,42,,1,1,1,0,16,26,0
5,5,-9.452949,-40.481102,B,B,,8/30/10,9/6/10,,,,0,0,0,0,,,
6,6,-9.452154,-40.480424,B,B,,8/30/10,9/6/10,,,,0,0,0,0,,,
7,7,-9.452393,-40.480006,A,A,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
9,9,-9.4536,-40.478975,A,A,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,8/30/10,9/6/10,49,15,,1,1,1,0,9,6,0
12,12,-9.453011,-40.478862,A,A,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
13,13,-9.452627,-40.479453,A,A,,8/30/10,9/6/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,8/30/10,9/6/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
16,16,-9.450012,-40.479963,U,C,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
17,17,-9.44824,-40.48074,U,D,,8/30/10,9/6/10,59,18,,1,1,1,0,12,6,0
18,18,-9.448047,-40.481087,U,D,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
19,19,-9.446134,-40.483012,U,D,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,8/30/10,9/6/10,0,0,,1,0,0,0,0,0,0
1,1,-9.451444,-40.481688,U,C,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,9/6/10,9/13/10,119,72,,1,1,1,0,28,44,0
3,3,-9.452153,-40.480554,B,B,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
4,4,-9.452082,-40.481252,B,B,,9/6/10,9/13/10,19,11,,1,1,1,0,2,8,0
5,5,-9.452949,-40.481102,B,B,,9/6/10,9/13/10,,,,0,0,0,0,,,
6,6,-9.452154,-40.480424,B,B,,9/6/10,9/13/10,,,,0,0,0,0,,,
7,7,-9.452393,-40.480006,A,A,,9/6/10,9/13/10,,,,0,0,0,0,,,
8,8,-9.453092,-40.479716,A,A,,9/6/10,9/13/10,,,,0,0,0,0,,,
9,9,-9.4536,-40.478975,A,A,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
12,12,-9.453011,-40.478862,A,A,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
13,13,-9.452627,-40.479453,A,A,,9/6/10,9/13/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,9/6/10,9/13/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,9/6/10,9/13/10,,,,0,0,0,0,,,
16,16,-9.450012,-40.479963,U,C,,9/6/10,9/13/10,48,32,,1,1,1,0,11,21,0
17,17,-9.44824,-40.48074,U,D,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
19,19,-9.446134,-40.483012,U,D,,9/6/10,9/13/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,9/6/10,9/13/10,14,0,,1,1,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,9/6/10,9/13/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,9/13/10,9/20/10,5,5,,1,1,1,0,2,3,0
3,3,-9.452153,-40.480554,B,B,,9/13/10,9/20/10,7,7,,1,1,1,0,4,3,0
4,4,-9.452082,-40.481252,B,B,,9/13/10,9/20/10,,3,,0,0,1,0,1,2,
5,5,-9.452949,-40.481102,B,B,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
6,6,-9.452154,-40.480424,B,B,,9/13/10,9/20/10,,,,0,0,0,0,,,
7,7,-9.452393,-40.480006,A,A,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
9,9,-9.4536,-40.478975,A,A,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
12,12,-9.453011,-40.478862,A,A,,9/13/10,9/20/10,79,78,,1,1,1,0,44,34,0
13,13,-9.452627,-40.479453,A,A,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
14,14,-9.451702,-40.479893,B,B,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
15,15,-9.450559,-40.480695,U,C,,9/13/10,9/20/10,22,0,,1,1,0,0,0,0,0
16,16,-9.450012,-40.479963,U,C,,9/13/10,9/20/10,24,10,,1,1,1,0,4,6,0
17,17,-9.44824,-40.48074,U,D,,9/13/10,9/20/10,22,13,,1,1,1,0,8,5,0
18,18,-9.448047,-40.481087,U,D,,9/13/10,9/20/10,86,37,,1,1,1,0,24,13,0
19,19,-9.446134,-40.483012,U,D,,9/13/10,9/20/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,9/13/10,9/20/10,44,27,,1,1,1,0,11,15,0
21,21,-9.445648,-40.483841,U,D,,9/13/10,9/20/10,7,7,,1,1,1,0,3,4,0
1,1,-9.451444,-40.481688,U,C,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
3,3,-9.452153,-40.480554,B,B,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
4,4,-9.452082,-40.481252,B,B,,9/20/10,9/27/10,10,10,,1,1,1,0,6,4,0
5,5,-9.452949,-40.481102,B,B,,9/20/10,9/27/10,,,,0,0,0,0,,,
6,6,-9.452154,-40.480424,B,B,,9/20/10,9/27/10,,,,0,0,0,0,,,
7,7,-9.452393,-40.480006,A,A,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
9,9,-9.4536,-40.478975,A,A,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
10,10,-9.454207,-40.477621,A,A,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
12,12,-9.453011,-40.478862,A,A,,9/20/10,9/27/10,7,0,,1,1,0,0,0,0,0
13,13,-9.452627,-40.479453,A,A,,9/20/10,9/27/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,9/20/10,9/27/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,9/20/10,9/27/10,69,16,,1,1,1,0,7,9,0
16,16,-9.450012,-40.479963,U,C,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
17,17,-9.44824,-40.48074,U,D,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,9/20/10,9/27/10,62,35,,1,1,1,0,17,18,0
19,19,-9.446134,-40.483012,U,D,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
20,20,-9.446507,-40.483302,U,D,,9/20/10,9/27/10,0,0,,1,0,0,0,0,0,0
21,21,-9.445648,-40.483841,U,D,,9/20/10,9/27/10,,,,0,0,0,0,,,
1,1,-9.451444,-40.481688,U,C,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
2,2,-9.451419,-40.481484,U,C,,9/27/10,10/4/10,88,16,,1,1,1,0,8,8,0
3,3,-9.452153,-40.480554,B,B,,9/27/10,10/4/10,17,4,,1,1,1,0,4,0,0
4,4,-9.452082,-40.481252,B,B,,9/27/10,10/4/10,541,236,,1,1,1,0,146,90,0
5,5,-9.452949,-40.481102,B,B,,9/27/10,10/4/10,15,13,,1,1,1,0,4,9,0
6,6,-9.452154,-40.480424,B,B,,9/27/10,10/4/10,,,,0,0,0,0,,,
7,7,-9.452393,-40.480006,A,A,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
8,8,-9.453092,-40.479716,A,A,,9/27/10,10/4/10,,,,0,0,0,0,,,
