OVITRAP,GPS,LAT,LONG,AREA (3 areas for main text),AREA (4 areas for SI),INSIDE_OUTSIDE,DATE_SET_UP,DATE_COLLECTED,NUM_EGGS/TRAP,NUM_LARVAE,NUM_OX513A LARVAE,RECOVERED,EGG_POSITIVE,LARVAE_POSITIVE,OX513A_POSITIVE,ADULT_FEMALE_AEGYPTI,ADULT_MALE_AEGYPTI,ADULT_A_ALBOPICTUS
9,9,-9.4536,-40.478975,A,A,,9/27/10,10/4/10,4,4,,1,1,1,0,3,1,0
10,10,-9.454207,-40.477621,A,A,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
11,11,-9.454263,-40.477542,A,A,,9/27/10,10/4/10,4,3,,1,1,1,0,1,2,0
12,12,-9.453011,-40.478862,A,A,,9/27/10,10/4/10,,,,0,0,0,0,,,
13,13,-9.452627,-40.479453,A,A,,9/27/10,10/4/10,,,,0,0,0,0,,,
14,14,-9.451702,-40.479893,B,B,,9/27/10,10/4/10,,,,0,0,0,0,,,
15,15,-9.450559,-40.480695,U,C,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
16,16,-9.450012,-40.479963,U,C,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
17,17,-9.44824,-40.48074,U,D,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
18,18,-9.448047,-40.481087,U,D,,9/27/10,10/4/10,16,11,,1,1,1,0,6,5,0
19,19,-9.446134,-40.483012,U,D,,9/27/10,10/4/10,0,0,,1,0,0,0,0,0,0
